STATE/UT,CONSTITUENCY,WINNER,SEX,PARTY,SYMBOL
West Bengal,Magrahat Purba,NAMITA SAHA,F,AITC,Flowers and Grass
West Bengal,Magrahat Paschim,GIAS UDDIN MOLLA,M,AITC,Flowers and Grass
West Bengal,Diamond Harbour,PANNALAL HALDER,M,AITC,Flowers and Grass
West Bengal,Falta,SANKAR KUMAR NASKAR,M,AITC,Flowers and Grass
West Bengal,Satgachhia,MOHAN CHANDRA NASKAR,M,AITC,Flowers and Grass
West Bengal,146 Bishnupur,DILIP MONDAL,M,AITC,Flowers and Grass
West Bengal,Sonarpur Dakshin,ARUNDHUTI MAITRA (LOVELY),F,AITC,Flowers and Grass
West Bengal,Bhangar,MD. NAWSAD SIDDIQUE,M,RSSCMJP,Envelope
West Bengal,Kasba,AHMED JAVED KHAN,M,AITC,Flowers and Grass
West Bengal,Jadavpur,DEBABRATA MAJUMDAR (MALAY),M,AITC,Flowers and Grass
West Bengal,Sonarpur Uttar,FIRDOUSI BEGUM,F,AITC,Flowers and Grass
West Bengal,Tollyganj,AROOP BISWAS,M,AITC,Flowers and Grass
West Bengal,Behala Purba,Ratna Chatterjee,F,AITC,Flowers and Grass
West Bengal,Behala Paschim,PARTHA CHATTERJEE,M,AITC,Flowers and Grass
West Bengal,Maheshtala,DULAL CHANDRA DAS,M,AITC,Flowers and Grass
West Bengal,Budge Budge,ASHOK KUMAR DEB,M,AITC,Flowers and Grass
West Bengal,Metiaburuz,ABDUL KHALEQUE MOLLA,M,AITC,Flowers and Grass
West Bengal,Kolkata Port,Firhad Hakim,M,AITC,Flowers and Grass
West Bengal,Bhabanipur,Sobhandeb Chattopadhyay,M,AITC,Flowers and Grass
West Bengal,Rashbehari,DEBASISH KUMAR,M,AITC,Flowers and Grass
West Bengal,Ballygunge,Subrata Mukherjee,M,AITC,Flowers and Grass
West Bengal,Chowrangee,BANDYOPADHYAY NAYNA,F,AITC,Flowers and Grass
West Bengal,Entally,Swarna Kamal Saha,M,AITC,Flowers and Grass
West Bengal,Beleghata,PARESH PAUL,M,AITC,Flowers and Grass
West Bengal,Jorasanko,VIVEK GUPTA,M,AITC,Flowers and Grass
West Bengal,Shyampukur,Dr. SHASHI PANJA,F,AITC,Flowers and Grass
West Bengal,Maniktola,Sadhan Pande,M,AITC,Flowers and Grass
West Bengal,Kashipur-Belgachhia,Atin Ghosh,M,AITC,Flowers and Grass
West Bengal,Bally,RANA CHATTERJEE,M,AITC,Flowers and Grass
West Bengal,Howrah Uttar,GAUTAM CHOWDHURI,M,AITC,Flowers and Grass
