"a. Postal Votes(For Service Voters<br>Under sub-Section(8) of Section 20 of<br>R.P. Act,1950)":25311,10190,3084,38585
"b. Postal Votes(For Govt. Servants<br>on election duty(including all Police<br>Pesonnel, drivers, conductors,<br>cleaners) and Absentee Voters.":351336,125765,29145,506246
TOTAL POSTAL VOTES:376647,135955,32229,544831
