1 Mekliganj,,,,,,,,
6,KAJAL GHOSH BISWAS,IND,Z,1968,0.78,0.96,DF,204511
72 Baharampur,,,,,,,,
6,Rekha Roy,BMUP,U,414,0.16,0.21,DF,197607
74 Naoda,,,,,,,,
3,SAHINA MOMTAZ KHAN,AITC,N,117684,47.51,58.16,W,202349
9,SAHINA MAMTAJ,IND,Z,949,0.38,0.47,DF,202349
75 Domkal,,,,,,,,
2,BIYAMMA MONDAL (RUBIA),BJP,N,12348,4.64,5.46,DF,226183
76 Jalangi,,,,,,,,
10,RAFIKA SULTANA,IND,Z,4189,1.6,1.89,DF,222167
77 Karimpur,,,,,,,,
7,Mousumi Saha Mandal,IND,Z,695,0.28,0.31,DF,221506
80 Kaliganj,,,,,,,,
3,SUJATA MANDAL,BSP,N,1567,0.63,0.75,DF,209379
81 Nakashipara,,,,,,,,
4,Sukla Saha,CPI(M),N,5365,2.17,2.56,DF,209570
83 Krishnanagar Uttar,,,,,,,,
2,KOUSHANI MUKHERJEE,AITC,N,74268,31.18,36.8,L,201805
4,SILVI SAHA,INC,N,11407,4.79,5.65,DF,201805
6,DIPIKA PRAMANIK,PMPT,U,1460,0.61,0.72,DF,201805
87 Ranaghat Uttar Paschim,,,,,,,,
5,APARNA GUHA,SUCI,U,1068,0.4,0.48,DF,223193
7,ALPANA BANDYOPADHYAY,IND,Z,1070,0.4,0.48,DF,223193
88 Krishnaganj,,,,,,,,
2,JHUNU BAIDYA,CPI(M),N,10913,3.99,4.71,DF,231938
4,DIPALI BISWAS,BSP,N,1801,0.66,0.78,DF,231938
90 Ranaghat Dakshin,,,,,,,,
2,BARNALI DEY ROY,AITC,N,102745,36.03,42.51,L,241687
4,RAMA BISWAS,CPI(M),N,15124,5.3,6.26,DF,241687
93 Haringhata,,,,,,,,
3,NILIMA NAG (MALLICK),AITC,N,82466,34.27,39.11,L,210874
95 Bangaon Uttar,,,,,,,,
4,SUNITI MALLICK,BSP,N,1082,0.43,0.53,DF,205175
5,ARPITA MONDAL,AMB,U,425,0.17,0.21,DF,205175
96 Bangaon Dakshin,,,,,,,,
1,ALO RANI SARKAR,AITC,N,95824,38.6,46.11,L,207834
97 Gaighata,,,,,,,,
3,BEAUTY SARKAR,BSP,N,1385,0.55,0.65,DF,213243
5,NANIBALA BISWAS (DAS),SUCI,U,814,0.32,0.38,DF,213243
98 Swarupnagar,,,,,,,,
2,BINA MONDAL,AITC,N,99784,40.54,47.11,W,211804
101 Ashoknagar,,,,,,,,
2,TANUJA CHAKRABORTY,BJP,N,70055,27.24,32.32,L,216724
7,TANUJA CHAKRABORTY,IND,Z,1556,0.61,0.72,DF,216724
104 Naihati,,,,,,,,
1,INDRANI KUNDU MUKHERJEE,CPI(M),N,15825,8.16,10.11,DF,156468
4,PHALGUNI PATRA,BJP,N,58898,30.37,37.64,L,156468
105 Bhatpara,,,,,,,,
9,SABARI CHOWDHURY,IND,Z,610,0.4,0.57,DF,107197
107 Noapara,,,,,,,,
1,MANJU BASU,AITC,N,94203,35.93,48.9,W,192634
110 Dum Dum Uttar,,,,,,,,
1,DR. ARCHANA MAJUMDAR,BJP,N,66966,24.53,31.42,L,213149
2,CHANDRIMA BHATTACHARYA,AITC,N,95465,34.97,44.79,W,213149
4,SOVA HOWLADER,BSP,N,1005,0.37,0.47,DF,213149
111 Panihati,,,,,,,,
5,MANISHA DASGUPTA,SUCI,U,887,0.38,0.51,DF,174356
112 Kamarhati,,,,,,,,
4,BIDISHA ROYCHOWDHURY,PDS,U,488,0.25,0.34,DF,144310
113 Baranagar,,,,,,,,
3,PARNO MITTRA,BJP,N,50468,23.17,31.49,L,160259
114 Dum Dum,,,,,,,,
7,RUPA SARKAR,IND,Z,774,0.31,0.42,DF,185334
116 Bidhannagar,,,,,,,,
3,SMRITI KANA HOWLADER,BSP,N,611,0.25,0.38,DF,162035
9,SUSOMA LOHO,IND,Z,421,0.17,0.26,DF,162035
117 Rajarhat Gopalpur,,,,,,,,
1,ADITI MUNSHI,AITC,N,87650,34.05,49.04,W,178723
5,RINA DEY,BNARP,U,370,0.14,0.21,DF,178723
8,INDRANI HALDER,IND,Z,84,0.03,0.05,DF,178723
118 Madhyamgram,,,,,,,,
2,RAJASREE RAJBANSHI,BJP,N,64615,23.72,28.04,L,230431
119 Barasat,,,,,,,,
5,KSHAMA DEBNATH (PANDA),SUCI,U,418,0.15,0.19,DF,225707
120 Deganga,,,,,,,,
1,DIPIKA CHATTARJEE,BJP,N,38446,15.84,17.93,L,214380
3,RAHIMA MONDAL,AITC,N,100105,41.25,46.7,W,214380
122 Minakhan,,,,,,,,
1,USHA RANI MONDAL,AITC,N,109818,46.43,51.72,W,212352
125 Basirhat Uttar,,,,,,,,
5,TASLIMA KHATUN,IND,Z,2014,0.75,0.84,DF,238426
129 Kultali,,,,,,,,
1,KANAN BALA MONDAL,BSP,N,1432,0.54,0.63,DF,227351
131 Kakdwip,,,,,,,,
3,PARBATI BHUNIA,BSP,N,1630,0.66,0.74,DF,219597
138 Canning Paschim,,,,,,,,
6,MAYA BAG,IND,Z,759,0.29,0.35,DF,218354
141 Magrahat Purba,,,,,,,,
3,NAMITA SAHA,AITC,N,110945,45.74,53.82,W,206153
143 Diamond Harbour,,,,,,,,
5,MONARAMA HALDER,SUCI,U,469,0.18,0.21,DF,225397
146 Bishnupur,,,,,,,,
2,JHUMA KAYAL,CPI(M),N,17995,6.46,7.57,DF,237570
147 Sonarpur Dakshin,,,,,,,,
1,ANJANA BASU,BJP,N,83041,28.81,35.67,L,232807
2,ARUNDHUTI MAITRA (LOVELY),AITC,N,109222,37.89,46.92,W,232807
5,TRAYEE PRADHAN,RTORP,U,372,0.13,0.16,DF,232807
14,SHAMPA DAS,IND,Z,1907,0.66,0.82,DF,232807
148 Bhangar,,,,,,,,
2,SOUMI HATI,BJP,N,38726,14.24,15.99,DF,242185
149 Kasba,,,,,,,,
4,SHAMPA SARKAR,SUCI,U,673,0.22,0.3,DF,223154
150 Jadavpur,,,,,,,,
2,RINKU NASKAR,BJP,N,53139,17.72,24.67,L,215419
5,MONALISA GUPTA (DEBROY),PDS,U,385,0.13,0.18,DF,215419
11,MEGHA CHATTERJEE,IND,Z,400,0.13,0.19,DF,215419
151 Sonarpur Uttar,,,,,,,,
2,FIRDOUSI BEGUM,AITC,N,119957,39.94,49.88,W,240495
3,MONALISA SINHA,CPI(M),N,29400,9.79,12.22,DF,240495
152 Tollyganj,,,,,,,,
5,ANINDITA BASU,IND,Z,133,0.05,0.07,DF,197365
153 Behala Purba,,,,,,,,
1,Payel Sarkar,BJP,N,73540,23.85,33.15,L,221872
2,Ratna Chatterjee,AITC,N,110968,36,50.01,W,221872
3,Rina Roy,BSP,N,1175,0.38,0.53,DF,221872
4,Samita Har Chowdhury,CPI(M),N,30172,9.79,13.6,DF,221872
11,Tulsi Rani Pramanik,IND,Z,1167,0.38,0.53,DF,221872
154 Behala Paschim,,,,,,,,
4,SRABANTI CHATTERJEE,BJP,N,63894,20.4,27.56,L,231816
5,ARUNA RAY,IND,Z,532,0.17,0.23,DF,231816
155 Maheshtala,,,,,,,,
4,RINA DEBI,BSP,N,838,0.31,0.38,DF,219969
157 Metiaburuz,,,,,,,,
4,FIROZA KHATUN,JSTDVPMTP,U,311,0.12,0.16,DF,196582
6,PRANATI PAUL,AMB,U,829,0.32,0.42,DF,196582
7,SABNAM BIBI,AIMF,U,409,0.16,0.21,DF,196582
158 Kolkata Port,,,,,,,,
9,Kalpana Chohan,IND,Z,428,0.18,0.28,DF,152443
159 Bhabanipur,,,,,,,,
1,Anita Rajwar,BSP,N,564,0.27,0.44,DF,127376
160 Rashbehari,,,,,,,,
5,SUSMITA PAL,SUCI,U,546,0.27,0.44,DF,124455
