Uluberia Dakshin,22.280,88.070
Shyampur,22.17,88.01
Bagnan,22.280,87.580
Amta,22.34,88.00
Udaynarayanpur,22.45,87.59
Jagatballavpur,22.40,88.07
Domjur,22.380,88.130
Uttarpara,22.40,88.20
Sreerampur,22.450,88.200
Champdani,22.48,88.20
Singur,22.490,88.140
Chandannagar,22.520,88.230
Chunchura,22.540,88.230
Balagarh,23.06,88.27
Pandua,23.050,88.170
Saptagram,22.580,88.230
Chanditala,22.410,88.160
Jangipara,22.44,88.03
Haripal,22.500,88.070
Dhanekhali,22.580,88.070
Tarakeswar,22.530,88.010
Pursurah,22.51,87.57
Arambag,22.530,87.470
Goghat,22.52,87.42
Khanakul,22.43,87.52
Tamluk,22.18,87.55
Panskura Purba,22.25,87.44
Panskura Paschim,22.25,87.44
Moyna,22.14,87.47
Nandakumar,22.13,87.55
Mahisadal,22.11,87.59
Haldia,22.03,88.06
Nandigram,22.01,87.59
Chandipur,22.07,87.51
Patashpur,22.01,87.33
Kanthi Uttar,21.47,87.45
Bhagabanpur,22.06,87.45
Khejuri,21.58,87.487
Kanthi Dakshin,21.47,87.45
Ramnagar;Purba Medinipur,21.40,87.33
Egra,21.54,87.32
Dantan,21.57,87.16
Nayagram,22.02,87.11
Gopiballavpur,22.13,86.54
Keshiary,22.08,87.14
Kharagpur Sadar,22.19,87.19
Narayangarh,22.9,87.24
Sabang,22.11,87.36
Pingla,22.16,87.358
Kharagpur,22.19,87.19
Debra,22.24,87.33
Daspur,22.36,87.43
Ghatal,22.40,87.43
Chandrakona,22.44,87.31
Garbeta,22.52,87.22
Salboni,22.38,87.20
Keshpur,22.33,87.28
Medinipur,22.15,87.39
Binpur,22.350,86.54
Bandwan,22.47,86.30
Purulia,23.20,86.22
Balarampur;Purulia,23.07,86.13
Baghmundi,23.12,86.03
Joypur;Purulia,23.26,86.08
Manbazar,23.04,86.39
Kashipur,23.26,86.40
Para,23.31,86.31
Raghunathpur;Purulia,23.33,86.40
Saltora,23.320,86.560
Chhatna,23.18,86.58
Ranibandh,22.51,86.475
Raipur;Bankura,22.48,86.57
Taldangra,23.010,87.070
Barjora,23.260,87.170
Onda,23.080,87.120
Bishnupur;Bankura,23.050,87.190
Katulpur,23.00,87.35
Indas,23.090,87.370
Sonamukhi,23.180,87.250
Khandaghosh,23.13,87.41
Bardhaman Dakshin,23.15,87.51
Raina,23.04,87.53
Jamalpur,23.04,87.59
Manteswar,23.26,88.06
Kalna,23.13,88.22
Memari,23.12,88.07
Bardhaman Uttar,23.15,87.51
Bhatar,23.25,87.54
Purbasthali Dakshin,23.28,88.19
Purbasthali Uttar,23.28,88.19
Katwa,23.39,88.08
Ketugram,23.42,88.03
Mangalkot,23.33,87.54
Ausgram,23.32,87.40
Galsi,23.20,87.42
Pandaveswar,23.43,87.17
Durgapur Purba,23.33,87.19
Durgapur Paschim,23.33,87.17
Raniganj,23.37,87.08
Jamuria,23.42,87.05
Asansol Dakshin,23.40,86.56
Asansol Uttar,23.41,86.59
Kulti,23.46,86.56
Barabani,23.44,87.01
Dubrajpur,23.48,87.23
Suri,23.55,87.32
Bolpur,23.40,87.43
Nanoor,23.42,87.52
Labpur,23.50,87.49
Sainthia,23.57,87.40
Mayureswar,23.59,87.46
Rampurhat,24.10,87.47
Hansan,24.10,87.52
Nalhati,24.18,87.49
Murarai,24.27,87.52
